name,lecturehours,labhours,duration,days
C,36,36,2,18
C++,16,16,2,8
DS,16,16,2,8
OS,12,0,3,4
APTI,24,0,4,6
DCN,9,0,3,3
BIGDATA,6,0,3,2
AI,6,0,3,2
